"digitized","partof__001","partof__002","partof__003","subject","description__-","timestamp","access_restricted","site__-","original_format__001","original_format__002","original_format__003","original_format__004","original_format__005","original_format__006","contributor__001","contributor__002","contributor__003","contributor__004","contributor__005","contributor__006","extract_timestamp","date","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","id","index","group__001","group__002","title","location__-","segments__url","segments__count","segments__link","url","items","shelf_id","count","dates","language__-","online_format__-","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","mime_type__001","mime_type__002","mime_type__003","mime_type__004"
"","","","","correspondence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1946-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","financial records","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1947-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","lecture notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1948-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1949-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","photographic prints","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1950-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","posters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1951-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","programs (documents)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1952-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","promotional materials","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1953-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","scores","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1954-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","scrapbooks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1955-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","scripts (documents)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1956-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","speeches","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1957-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","variety shows (radio programs)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1958-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","variety shows (television programs)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1959-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","writings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1960-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1961-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1962-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1963-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1964-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1965-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1966-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1967-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1968-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1969-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1970-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1971-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1972-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1973-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1974-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1975-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1976-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1977-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1978-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1979-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1980-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1981-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1982-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1983-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1984-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1985-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1918-01-01T00:00:00Z","","","","","","","","","","",""
